PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON,PLAYER(season),TEAM(season),OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,Off_kmean,Def_kmean,Ovr_kmean
Kobe Bryant,LAL,27,80,45,35,51.4,44.5,15.4,34.1,45.0,2.8,8.1,34.7,10.9,12.9,85.0,1.1,5.6,6.7,5.7,3.9,2.3,0.5,3.7,65.3,4,0,5.0,05-06,Kobe Bryant(05-06),LAL(05-06),109.7,105.0,4.7,22.8,1.44,11.5,2.2,11.2,6.7,8.0,49.1,55.9,37.8,93.2,18.1,2,0,0
LeBron James,CLE,21,79,47,32,52.5,38.7,13.7,28.5,48.0,2.0,5.9,33.5,9.4,12.7,73.8,1.2,7.5,8.7,8.1,4.1,1.9,1.0,2.8,66.1,21,5,4.3,05-06,LeBron James(05-06),CLE(05-06),108.2,104.4,3.8,31.5,2.0,17.7,2.3,15.0,8.6,8.9,51.5,56.8,32.9,91.25,19.2,2,0,0
Allen Iverson,PHI,31,72,35,37,50.4,38.6,13.2,29.6,44.7,1.2,3.6,32.3,11.0,13.5,81.4,0.7,3.1,3.8,8.6,4.0,2.3,0.2,2.0,59.4,18,0,-0.1,05-06,Allen Iverson(05-06),PHI(05-06),106.7,106.5,0.1,33.1,2.15,17.9,1.5,6.2,3.9,8.3,46.7,54.3,35.0,95.38,16.3,2,0,0
Dirk Nowitzki,DAL,28,81,60,21,53.5,37.3,13.0,27.1,48.0,1.9,4.7,40.6,9.3,10.4,90.1,2.0,10.6,12.6,3.9,2.7,1.0,1.4,2.8,62.9,35,0,8.8,05-06,Dirk Nowitzki(05-06),DAL(05-06),111.9,103.3,8.6,14.2,1.45,10.3,4.1,20.9,12.7,7.1,51.5,58.9,29.3,89.64,20.5,2,0,0
Carmelo Anthony,DEN,22,80,44,36,50.2,36.2,12.9,26.8,48.1,0.6,2.6,24.3,9.8,12.1,80.8,2.1,4.6,6.7,3.7,3.7,1.5,0.7,3.9,52.7,6,0,0.1,05-06,Carmelo Anthony(05-06),DEN(05-06),104.7,104.1,0.6,14.1,0.99,9.4,4.4,9.2,6.9,9.5,49.3,56.3,31.3,95.93,13.9,2,0,0
Dwyane Wade,MIA,24,75,48,27,51.3,36.2,12.4,25.0,49.5,0.2,1.3,17.1,11.1,14.2,78.3,1.9,5.7,7.6,8.9,4.7,2.6,1.0,3.8,64.8,16,2,8.6,05-06,Dwyane Wade(05-06),MIA(05-06),110.5,102.1,8.4,31.2,1.88,19.8,4.0,11.2,7.8,10.5,49.9,57.7,31.8,93.57,18.6,2,0,0
Gilbert Arenas,WAS,24,80,40,40,50.6,35.1,11.2,25.0,44.7,3.0,8.1,36.9,9.8,12.0,82.0,0.9,3.3,4.2,7.2,4.4,2.4,0.4,4.3,54.9,9,0,3.1,05-06,Gilbert Arenas(05-06),WAS(05-06),109.2,106.3,2.9,26.1,1.63,17.4,1.7,6.9,4.2,10.7,50.7,58.1,29.7,94.7,14.7,2,0,0
Paul Pierce,BOS,28,79,32,47,51.0,35.0,11.4,24.2,47.1,1.8,5.2,35.4,10.4,13.4,77.2,1.3,7.5,8.8,6.2,4.5,1.8,0.6,3.7,57.3,17,1,-1.0,05-06,Paul Pierce(05-06),BOS(05-06),106.8,107.5,-0.7,22.4,1.37,15.3,2.8,15.3,9.2,11.1,50.9,58.2,30.7,94.19,16.0,2,0,0
Tracy McGrady,HOU,27,47,27,20,53.1,34.9,12.5,30.8,40.6,2.2,7.1,31.2,7.7,10.4,74.7,1.4,7.9,9.3,6.8,3.7,1.8,1.2,2.7,61.9,6,0,1.9,05-06,Tracy McGrady(05-06),HOU(05-06),104.0,102.4,1.6,26.8,1.88,15.0,2.7,15.3,9.0,8.0,44.2,49.4,33.8,90.22,15.9,2,0,0
Yao Ming,HOU,25,57,27,30,52.8,34.5,12.7,24.4,51.9,0.0,0.0,0.0,9.1,10.7,85.3,4.0,11.7,15.7,2.3,4.0,0.8,2.5,5.3,62.9,34,0,2.4,05-06,Yao Ming(05-06),HOU(05-06),101.8,99.6,2.2,9.2,0.58,6.5,8.3,22.3,15.6,11.3,51.9,59.2,29.3,90.77,18.3,2,0,0
Vince Carter,NJN,29,79,49,30,52.1,34.2,11.7,27.2,43.0,2.2,6.6,34.1,8.6,10.8,79.9,2.4,5.9,8.3,6.1,3.8,1.7,0.9,4.2,57.4,8,1,5.9,05-06,Vince Carter(05-06),NJN(05-06),104.6,98.7,5.8,23.5,1.59,14.5,4.8,11.6,8.2,9.1,47.1,53.6,31.6,92.14,14.8,2,0,0
Shaquille O'Neal,MIA,34,59,42,17,51.5,33.7,13.7,22.8,60.0,0.0,0.0,0.0,6.3,13.4,46.9,4.9,10.5,15.4,3.2,4.8,0.7,3.0,6.6,63.1,24,1,7.7,05-06,Shaquille O'Neal(05-06),MIA(05-06),111.5,104.0,7.6,11.1,0.67,8.8,10.8,21.0,16.2,13.1,60.0,58.6,29.6,93.17,14.2,2,0,0
Ray Allen,SEA,30,78,35,43,51.8,33.5,11.7,25.7,45.4,4.6,11.2,41.2,5.5,6.1,90.3,1.2,4.5,5.7,4.9,3.2,1.8,0.3,2.6,50.6,1,0,-0.9,05-06,Ray Allen(05-06),SEA(05-06),111.9,112.5,-0.6,16.6,1.52,13.5,2.5,9.4,5.9,8.9,54.4,59.0,26.9,92.87,13.7,2,0,0
